100	1.15846e+10
200	9.98105e+09
300	8.80992e+09
400	8.1934e+09
500	7.83861e+09
600	7.50907e+09
700	6.98424e+09
800	6.76534e+09
900	6.51033e+09
1000	6.32449e+09
1100	6.0329e+09
1200	5.83422e+09
1300	5.59077e+09
1400	5.42167e+09
1500	5.27723e+09
1600	5.08565e+09
1700	4.78747e+09
1800	4.60727e+09
1900	4.44612e+09
2000	4.31663e+09
2100	4.16671e+09
2200	3.9971e+09
2300	3.86086e+09
2400	3.74578e+09
2500	3.62401e+09
2600	3.44581e+09
2700	3.29618e+09
2800	3.17161e+09
2900	3.05535e+09
3000	2.92731e+09
3100	2.80899e+09
3200	2.74236e+09
3300	2.60437e+09
3400	2.45295e+09
3500	2.33515e+09
3600	2.2248e+09
3700	2.09711e+09
3800	1.98031e+09
3900	1.88233e+09
4000	1.7786e+09
4100	1.66068e+09
4200	1.54553e+09
4300	1.41425e+09
4400	1.27872e+09
4500	1.15018e+09
4600	1.01282e+09
4700	8.7093e+08
4800	7.17686e+08
4900	5.37637e+08
5000	1.34334e+07
