100	8.12031e+09
200	7.30086e+09
300	6.10185e+09
400	5.37794e+09
500	4.74527e+09
600	4.41624e+09
700	4.16794e+09
800	3.95243e+09
900	3.83048e+09
1000	3.75918e+09
1100	3.59368e+09
1200	3.38163e+09
1300	3.35267e+09
1400	3.14778e+09
1500	3.03252e+09
1600	2.92622e+09
1700	2.83992e+09
1800	2.7248e+09
1900	2.61724e+09
2000	2.49864e+09
2100	2.46258e+09
2200	2.34899e+09
2300	2.25038e+09
2400	2.13491e+09
2500	2.04351e+09
2600	1.96242e+09
2700	1.88638e+09
2800	1.82687e+09
2900	1.77102e+09
3000	1.70578e+09
3100	1.61922e+09
3200	1.53382e+09
3300	1.45141e+09
3400	1.37614e+09
3500	1.31767e+09
3600	1.25483e+09
3700	1.19786e+09
3800	1.15024e+09
3900	1.08396e+09
4000	1.01569e+09
4100	9.44961e+08
4200	8.90226e+08
4300	8.20299e+08
4400	7.55631e+08
4500	6.84962e+08
4600	6.17946e+08
4700	5.26721e+08
4800	4.16749e+08
4900	2.84057e+08
5000	1.09841e+07
